"","country","ISO2","cat","twitter_handle","user_id","name","username","created_at","description","entities","location","profile_image_url","protected","followers_count","following_count","tweet_count","listed_count","like_count","url","verified","withheld","deleted","data_scraped"
"1","Afghanistan","AF","A","ChinaEmbKabul","826108735827345410","Zhao Xing 赵星","ChinaEmbKabul",2017-01-30 16:44:05,"16th Chinese Ambassador to Afghanistan",NA,"Afghanistan","https://pbs.twimg.com/profile_images/1731666783030145024/IpD9TyYs_normal.jpg",NA,28078,278,2289,165,1174,"https://t.co/d1gEy1bddj",NA,NA,FALSE,2024-04-15
"2","Albania","AL","E","ChinaembassyT","1122771205545709569","ChinaEmbassy Tirana","ChinaembassyT",2019-04-29 07:54:50,"The Official twitter account of the Embassy of the People's Republic of China in the Republic of Albania Facebook https://t.co/cNxllvfI7p",NA,"Albania","https://pbs.twimg.com/profile_images/1471146463359086595/5QAGKcOm_normal.jpg",NA,3946,375,1162,96,1194,NA,NA,NA,FALSE,2024-04-15
"3","Algeria","DZ","E","ChinaEmbAlgeria","1268099120964788224","Embassy of China in Algeria 中国驻阿尔及利亚大使馆","ChinaEmbAlgeria",2020-06-03 08:36:36,"مرحبا بكم في الحساب الرسمي لسفارة جمهورية الصين الشعبية لدى الجزائر.",NA,NA,"https://pbs.twimg.com/profile_images/1268099307795894272/wtodZJ-R_normal.jpg",NA,15945,80,1173,48,2642,"https://t.co/tOMF1EST84",NA,NA,FALSE,2024-04-15
"4","Algeria","DZ","S","Hakimyu2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-15
"5","Algeria","DZ","S","QuanQuan_1231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-15
"6","Angola","AO","E","ChinaEmbAngola","1187382248229789701","ChinaEmbAngola","ChinaEmbAngola",2019-10-24 14:56:13,"Embaixada da China em Angola",NA,"Angola","https://pbs.twimg.com/profile_images/1187382395005218818/Y4UOMi6f_normal.jpg",NA,4365,148,5964,104,2053,"https://t.co/w4n1O6OlQH",NA,NA,FALSE,2024-04-15
"7","Antigua and Barbuda","AG","E","ChinaEmbAntigua","1247973383347802112","Chinese Embassy in Antigua and Barbuda","ChinaEmbAntigua",2020-04-08 19:43:49,"Official twitter account of the Embassy of the People's Republic of China in Antigua and Barbud",NA,"Texas","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",NA,1989,0,414,53,56,"https://t.co/lqykSGKl5Y",NA,NA,FALSE,2024-04-15
"8","Argentina","AR","E","ChinaEmbArg","1239943788166070277","Embajada de China en Argentina","ChinaEmbArg",2020-03-17 15:56:59,"Un puente que enlaza a ambos pueblos en el corazón",NA,"Crisólogo Larralde 5349","https://pbs.twimg.com/profile_images/1267223426659483655/-lDqhCX__normal.jpg",NA,14802,156,2468,86,541,"https://t.co/LVUe2ylRXU",NA,NA,FALSE,2024-04-15
"9","Argentina","AR","S","amigoxiaolin","1225901603401748481","Xiaolin Wang","amigoxiaolin",2020-02-07 21:58:34,"Ministro Consejero de la Dirección General de Información del Ministerio de RR. EE. de China Cuenta personal y opinión personal",NA,"Beijing","https://pbs.twimg.com/profile_images/1225904403082809344/oNnDXAGB_normal.jpg",NA,1027,12,428,6,102,NA,NA,NA,FALSE,2024-04-15
"10","Australia","AU","C","ChinaConSydney","1253534354032087041","Chinese Consulate General in Sydney","ChinaConSydney",2020-04-24 04:01:02,"The official Twitter account of the Consulate General of the People's Republic of China in Sydney",NA,"Sydney, Australia","https://pbs.twimg.com/profile_images/1369097509973356544/AaXJahML_normal.jpg",NA,9305,367,7213,133,2080,"https://t.co/Lm3UpO9eQ0",NA,NA,FALSE,2024-04-15
