handle,url_handle,gov_label,name,description,followers,verified,date_scraped,filename,followers_num
zlj517,zlj517,China government official,Lijian Zhao 赵立坚,"Spokesman & DDG, Information Department, Foreign Ministry, China. @MFA_China @SpokespersonCHN YouTube http://t.cn/A67zK9yN Facebook http://t.cn/A67zKuDi",1.3M,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/zlj517_2022-04-14.html,1300000
SpokespersonCHN,SpokespersonCHN,China government official,Hua Chunying 华春莹,"Assistant Minister of Foreign Affairs, Foreign Ministry Spokesperson, Director General, Information Department, MFA PRC. Get to know us more @MFA_China",1.2M,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/SpokespersonCHN_2022-04-14.html,1200000
MFA_China,MFA_China,China government official,Spokesperson发言人办公室,Follow us to know more about China's Diplomacy. YouTube http://t.cn/A67zK9yN Facebook http://t.cn/A67zKuDi Instagram http://t.cn/A62t2uG3,448.9K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/MFA_China_2022-04-14.html,448900
AmbLiuXiaoMing,AmbLiuXiaoMing,China government official,刘晓明Liu Xiaoming,"中国政府朝鲜半岛事务特别代表，前驻英国、朝鲜、埃及大使，Special Representative of the Chinese Government on Korean Peninsula Affairs，Former Chinese Ambassador to Egypt, the DPRK and the UK",196K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/AmbLiuXiaoMing_2022-04-14.html,196000
zhang_heqing,zhang_heqing,NA,Zhang Heqing张和清,"Counsellor & Director. Culture, tourism, arts & more. Tweets are only personal views, Rts are not necessarily endorsements. http://facebook.com/CulturalChinaBJ",182K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/zhang_heqing_2022-04-14.html,182000
CathayPak,CathayPak,China government organization,Chinese Emb Pakistan,Embassy of the People's Republic of China in the Islamic Republic of Pakistan 欢迎关注中国驻巴基斯坦使馆官方推特。让我们一起续写中巴友谊，讲好中国故事。,140.9K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/CathayPak_2022-04-14.html,140900
AmbQinGang,AmbQinGang,China government official,Qin Gang 秦刚,Chinese Ambassador to the United States,129.3K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/AmbQinGang_2022-04-14.html,129300.00000000001
ChineseEmbinUS,ChineseEmbinUS,China government organization,Chinese Embassy in US,Official twitter account of the Embassy of the People's Republic of China in the United States of America,104.6K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChineseEmbinUS_2022-04-14.html,104600
CaoYi_MFA,CaoYi_MFA,NA,曹 毅 CAO Yi أبو وسيم,"Consul, Embassy of #China in #Lebanon. Chinese diplomat. Past postings: @MFA_China; @ChinaIraq. RTs≠endorsement.قنصل سفارة #الصين في لبنان",103.8K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/CaoYi_MFA_2022-04-14.html,103800
Chinamission2un,Chinamission2un,China government organization,Chinese Mission to UN,The official twitter account of the Permanent Mission of the People's Republic of China to the United Nations. See also @ChinaAmbUN,96.5K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/Chinamission2un_2022-04-14.html,96500
