mission_name,cat,region,role,dip_name,suffix,id,url
Permanent Missions to the Organization For the Prohibition of Chemical Weapons,international_organizations,global,Permanent Reprensentative,Ambassador Tan Jian,NA,t20001115_600637,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/200011/t20001115_600637.html
Chinese Consulate-General in Firenze(Italy),consulate,Europe,Consul General,Wang Wengang,NA,t20020306_630317,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200203/t20020306_630317.html
Chinese Consulate-General in Podgorica (Serbia and Montenegro),consulate,Europe,Consul General,Li Manchang,NA,t20020312_630311,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200203/t20020312_630311.html
Permanent Mission to the World Trade Organization(WTO)in Switzerland,international_organizations,global,Permanent Reprensentative,Ambassador Yu Jianhua,NA,t20020314_600623,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/200203/t20020314_600623.html
Chinese Consulate-General in Constanta(Temporarily Closed),consulate,Europe,NA,NA,NA,t20020320_630298,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200203/t20020320_630298.html
Chinese Consulate-General in Strasbourg (France),consulate,Europe,Consul General,Ling Jun,NA,t20020321_630325,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200203/t20020321_630325.html
Chinese Embassy in Panama,embassy,North America and Oceania,Ambassador,Wei Qiang,NA,t20040407_630157,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200404/t20040407_630157.html
Chinese Embassy in Lithuania,embassy,Europe,Ambassador,Shen Zhifei,NA,t20050302_630114,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200503/t20050302_630114.html
Chinese Embassy in Belgium,embassy,Europe,Ambassador,Cao Zhongming,NA,t20050508_630145,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200505/t20050508_630145.html
Chinese Embassy in Thailand,embassy,Asia,Ambassador,Lyu Jian,NA,t20050527_629906,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200505/t20050527_629906.html
Chinese Embassy in Japan,embassy,Asia,Ambassador,Kong Xuanyou,NA,t20050527_629926,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200505/t20050527_629926.html
Chinese Consulate-General in Chiangmai (Thailand),consulate,Asia,Consul General,Wu Zhiwu,NA,t20050527_630215,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/200505/t20050527_630215.html
Chinese Embassy in Kuwait,embassy,Western Asia and North Africa,Ambassador,Li Minggang,NA,t20050530_629971,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200505/t20050530_629971.html
Chinese Consulate-General in Jeddah (Saudi Arabia),consulate,Western Asia and North Africa,Consul General,Tan Banglin,NA,t20050530_630265,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2500_665364/200505/t20050530_630265.html
Chinese Consulate-General in Alexandria (Egypt),consulate,Western Asia and North Africa,Consul General,Zhao Liying,NA,t20050530_630267,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2500_665364/200505/t20050530_630267.html
Chinese Embassy in Niger,embassy,Africa,Ambassador,Zhang Lijun,NA,t20050601_630009,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200506/t20050601_630009.html
Chinese Embassy in Lesotho,embassy,Africa,Ambassador,Lei Kezhong,NA,t20050601_630020,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200506/t20050601_630020.html
Chinese Embassy in Ethiopia,embassy,Africa,Ambassador,Zhao Zhiyuan,NA,t20050601_630034,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200506/t20050601_630034.html
Chinese Embassy in Angola,embassy,Africa,Ambassador,Gong Tao,NA,t20050601_630061,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200506/t20050601_630061.html
Chinese Embassy in Switzerland,embassy,Europe,Ambassador,Wang Shiting,NA,t20050601_630087,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200506/t20050601_630087.html
Chinese Embassy in Spain,embassy,Europe,Ambassador,Wu Haitao,Concurrently Ambassador to Andorra,t20050601_630091,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200506/t20050601_630091.html
Chinese Embassy in the Netherlands,embassy,Europe,Ambassador,Tan Jian,NA,t20050601_630107,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200506/t20050601_630107.html
Chinese Consulate-General in Manchester (United Kingdom),consulate,Europe,Consul General,Zheng Xiyuan,NA,t20050601_630301,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200506/t20050601_630301.html
Chinese Embassy in Turkmenistan,embassy,Europe and Central Asia,Ambassador,Qian Naicheng,NA,t20050603_630066,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200506/t20050603_630066.html
Chinese Embassy in Russia,embassy,Europe and Central Asia,Ambassador,Zhang Hanhui,NA,t20050603_630070,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200506/t20050603_630070.html
Chinese Embassy in Kyrghyz,embassy,Europe and Central Asia,Ambassador,Du Dewen,NA,t20050603_630074,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200506/t20050603_630074.html
Chinese Embassy in Georgia,embassy,Europe and Central Asia,Ambassador,Li Yan,NA,t20050603_630077,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2494_665352/200506/t20050603_630077.html
Chinese Consulate-General in Khabarovsk (Russia),consulate,Europe and Central Asia,Consul General,Cui Guojie,NA,t20050603_630289,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2502_665368/200506/t20050603_630289.html
Chinese Embassy in the United States of America,embassy,North America and Oceania,Ambassador,Qin Gang,NA,t20050606_630151,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200506/t20050606_630151.html
Chinese Care-Taking Group in Kiribati,embassy,North America and Oceania,NA,NA,NA,t20050606_630162,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200506/t20050606_630162.html
Chinese Embassy in Fiji,embassy,North America and Oceania,Ambassador,Qian Bo,NA,t20050606_630163,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200506/t20050606_630163.html
Chinese Embassy in Canada,embassy,North America and Oceania,Ambassador,Cong Peiwu,NA,t20050606_630165,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/200506/t20050606_630165.html
Chinese Consulate-General in Auckland (New Zealand),consulate,North America and Oceania,Consul General,Ruan Ping,NA,t20050606_630336,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/200506/t20050606_630336.html
