handle,url_handle,gov_label,name,description,followers,verified,date_scraped,filename,followers_num
KremlinRussia,KremlinRussia_2022-03-23,Государственный орган (Россия),Президент России,Кремль. Официальные новости,3.6M,TRUE,2022-03-23,data/html_230322/twitter/html/KremlinRussia_2022-03-23.html,3600000
KremlinRussia_E,KremlinRussia_E_2022-03-23,Russia government organization,President of Russia,Official Kremlin news,1.7M,TRUE,2022-03-23,data/html_230322/twitter/html/KremlinRussia_E_2022-03-23.html,1700000
MID_RF,MID_RF_2022-03-23,Государственный орган (Россия),МИД России ,"Официальный аккаунт МИД России  (For tweets in English - @MFA_Russia, Cuenta en Español - @MAE_Rusia, صفحة باللغة العربية - @russia_ar)",1.2M,TRUE,2022-03-23,data/html_230322/twitter/html/MID_RF_2022-03-23.html,1200000
MedvedevRussiaE,MedvedevRussiaE_2022-03-23,Russia government official,Dmitry Medvedev,"Deputy Chair of the Security Council of the Russian Federation. For tweets in Russian, follow @MedvedevRussia",1M,TRUE,2022-03-23,data/html_230322/twitter/html/MedvedevRussiaE_2022-03-23.html,1000000
sputnikvaccine,sputnikvaccine_2022-03-23,NA,Sputnik V,"Sputnik V is the world’s first registered COVID-19 vaccine with over 91.6% efficacy, developed by Gamaleya Inst. Authorized in 71 countries.",1M,TRUE,2022-03-23,data/html_230322/twitter/html/sputnikvaccine_2022-03-23.html,1000000
Pravitelstvo_RF,pravitelstvo_rf_2022-03-23,Государственный орган (Россия),Правительство России,"Новости о Председателе Правительства России и Правительстве России. For tweets in English, follow @GovernmentRF",650.5K,TRUE,2022-03-23,data/html_230322/twitter/html/pravitelstvo_rf_2022-03-23.html,650500
natomission_ru,natomission_ru_2022-03-23,Russia government organization,Russia and NATO,,571.4K,TRUE,2022-03-23,data/html_230322/twitter/html/natomission_ru_2022-03-23.html,571400
mfa_russia,mfa_russia_2022-03-23,Russia government organization,MFA Russia ,Ministry of Foreign Affairs of Russia  (Official account) | Country's account @Russia | По-русски @MID_RF | Español @MAE_Rusia | Arabic - @russia_ar,518.1K,TRUE,2022-03-23,data/html_230322/twitter/html/mfa_russia_2022-03-23.html,518100
Russia,Russia_2022-03-23,Russia government organization,Russia ,"Find inspiring, fresh insights from #Russia Home to more than 190 ethnic groups & authentic cultures, with 11 time & 7 climate zones.  Feel our warm welcome",445K,TRUE,2022-03-23,data/html_230322/twitter/html/Russia_2022-03-23.html,445000
GovernmentRF,GovernmentRF_2022-03-23,Russia government organization,Government of Russia,Follow news on the work of the Prime Minister and the Russian Government in English. Аккаунт на русском языке - @Pravitelstvo_RF,348.2K,TRUE,2022-03-23,data/html_230322/twitter/html/GovernmentRF_2022-03-23.html,348200
mod_russia,mod_russia_2022-03-23,"Правительственная учетная запись, Россия",Минобороны России,"Министерство обороны Российской Федерации Telegram: http://t.me/mod_russia, http://t.me/mod_russia_enRutube: http://rutube.ru/channel/24675435/…",321.6K,TRUE,2022-03-23,data/html_230322/twitter/html/mod_russia_2022-03-23.html,321600
rvio_ru,rvio_ru_2022-03-23,NA,Российское военно-историческое общество,Председатель — Владимир Мединский,266.3K,FALSE,2022-03-23,data/html_230322/twitter/html/rvio_ru_2022-03-23.html,266300
mvd_official,mvd_official_2022-03-23,NA,Сайт МВД России,Твиттер-лента МВД России. Приём обращений онлайн и ссылки на ресурсы МВД России: http://taplink.cc/mvd.russia #новости #МВД #полиция,169.3K,TRUE,2022-03-23,data/html_230322/twitter/html/mvd_official_2022-03-23.html,169300
RussianEmbassy,RussianEmbassy_2022-03-23,Russia government organization,"Russian Embassy, UK",Embassy of the Russian Federation in London - official Twitter feed (на русском языке - @RussianEmbassyR),162.3K,TRUE,2022-03-23,data/html_230322/twitter/html/RussianEmbassy_2022-03-23.html,162300
Russia_AR,russia_ar_2022-03-23,روسيا مؤسسة حكومية, روسيا بالعربية,الحساب الرسمي لوزارة الخارجية  #روسيا_الاتحادية Telegram: https://t.me/russia_ar,132.6K,TRUE,2022-03-23,data/html_230322/twitter/html/russia_ar_2022-03-23.html,132600
RusEmbUSA,RusEmbUSA_2022-03-23,Russia government organization,Russian Embassy in USA ,Official Twitter feed of the Russian Embassy in the USA @RussiaInUSA http://facebook.com/RusEmbUSA Subscribe to Weekly Newsletter: http://bit.ly/31U5KQe,109.8K,TRUE,2022-03-23,data/html_230322/twitter/html/RusEmbUSA_2022-03-23.html,109800
RussiaUN,russiaun_2022-03-23,Russia government organization,Russian Mission UN,Official Twitter feed of the Russian Mission to the @UN in NY / Официальный Твиттер-аккаунт Постоянного представительства России  при ООНhttp://t.me/russiaun,100.2K,TRUE,2022-03-23,data/html_230322/twitter/html/russiaun_2022-03-23.html,100200
Olympic_Russia,olympic_russia_2022-03-23,NA,Olympic Russia,Официальный аккаунт Олимпийского комитета России / Russian Olympic Committee,98.7K,TRUE,2022-03-23,data/html_230322/twitter/html/olympic_russia_2022-03-23.html,98700
EmbassyofRussia,embassyofrussia_2022-03-23,Russia government organization,Russia in RSA ,Official twitter-account of the Embassy of Russia  in South Africa. Follow us on Facebook http://FB.com/RusEmbassySouthAfrica… Instagram http://instagram.com/embassyofrussia,94K,TRUE,2022-03-23,data/html_230322/twitter/html/embassyofrussia_2022-03-23.html,94000
aksenov_sv,aksenov_sv_2022-03-23,NA,Сергей Аксёнов,Официальный твиттер-аккаунт Главы Республики Крым,87.9K,FALSE,2022-03-23,data/html_230322/twitter/html/aksenov_sv_2022-03-23.html,87900
rsgov,rsgov_2022-03-23,Russia government account,Russian house,Official account of Rossotrudnichestvo,86.9K,FALSE,2022-03-23,data/html_230322/twitter/html/rsgov_2022-03-23.html,86900
RusEmbassyJ,RusEmbassyJ_2022-03-23,ロシアの政府機関,駐日ロシア連邦大使館,EMBASSY OF RUSSIA IN JAPAN ロシアの対外政策、ロシアの外交、ロ日関係、ロシア国内等 〒106-0041 東京都港区麻布台2-1-1 電話:03-3583-4224 FAX:03-3505-0593         https://t.me/rusembjp,84.1K,FALSE,2022-03-23,data/html_230322/twitter/html/RusEmbassyJ_2022-03-23.html,84100
RusEmbIndia,RusEmbIndia_2022-03-23,Russia government organization,Russia in India ,The official account of the Russian Embassy in India  Аккаунт Посольства на русском языке  @RusEmbIndia_Ru,68.2K,TRUE,2022-03-23,data/html_230322/twitter/html/RusEmbIndia_2022-03-23.html,68200
mae_rusia,mae_rusia_2022-03-23,Organización gubernamental de Rusia,Cancillería Rusia ,Ministerio de Asuntos Exteriores de Rusia  Conoce nuestro país @Russia. English @mfa_russia. Русский @MID_RF.Telegram  https://t.me/MAERusia,67.8K,TRUE,2022-03-23,data/html_230322/twitter/html/mae_rusia_2022-03-23.html,67800
EmbRusiaMexico,EmbRusiaMexico_2022-03-23,NA,Embajada de Rusia en México,Embajada de Rusia en México // Посольство России в Мексике  Nuestra cuenta en Telegram http://t.me/embrusiamexico,59.5K,TRUE,2022-03-23,data/html_230322/twitter/html/EmbRusiaMexico_2022-03-23.html,59500
MINZDRAV_RF,MINZDRAV_RF_2022-03-23,Государственный орган (Россия),Минздрав РФ,Министерство Здравоохранения Российской Федерации,50.1K,FALSE,2022-03-23,data/html_230322/twitter/html/MINZDRAV_RF_2022-03-23.html,50100
RusEmbTurkey,RusEmbTurkey_2022-03-23,Rusya devlet kurumu,RusEmbTurkey,Official blog of the Russian Embassy in Ankara Rusya Büyükelçiliğinin resmi sayfası http://t.me/embrusturkey https://facebook.com/RusEmbAnkara,48.2K,TRUE,2022-03-23,data/html_230322/twitter/html/RusEmbTurkey_2022-03-23.html,48200
RF_OSCE,rf_osce_2022-03-23,Государственный орган (Россия),Russian Mission OSCE,Постоянное Представительство Российской Федерации при ОБСЕ / Permanent Mission of the Russian Federation to the OSCE Our Facebook: http://goo.gl/NdOBjf,38.4K,TRUE,2022-03-23,data/html_230322/twitter/html/rf_osce_2022-03-23.html,38400
RussianEmbassyC,RussianEmbassyC_2022-03-23,Russia government organization,Russia in Canada,The Official Account of the Embassy of the Russian Federation in Canada / Официальная страница Посольства Российской Федерации в Канадеhttp://t.me/rusembc,28.1K,TRUE,2022-03-23,data/html_230322/twitter/html/RussianEmbassyC_2022-03-23.html,28100
